CLAVE,DESCRIPCIÓN
BAND-002,"BANDA DE LIJA TZAX 6 X 48"""
BAND-003,BANDA T 5 425 MM - 2 A 10 MM (KAWT5425)
BAND-006,BANDA GATES A32
BAND-007,BANDA GATES A25
BAND-008,BANDA GATES 1330
BAND-009,BANDA GATES K060355
BAND-010,BANDA DENTADA 6334GSMX
BAND-012,"BANDA
  P6.3815.1"
BAND-014,"BANDA
  P6.3772.0"
BARR-004,BARRA EN PASTA INOX. P/PULIR 2404
BARR-301,BARRA PARA BORING BB-3201500 304Y
BARR-302,BARRA PARA BRING BB-2301400 035V
BARR-303,BARRA PARA BORING BB-2301000
BARR-304,BARRA PARA BORING IT-2301000
BARR-305,BARRA PARA BORING BB-1801100
BARR-306,BARRA PARA BORING BB-2901500
BARR-307,BARRA PARA BORING BB-2301400
BARR-308,"Barra TopNotch TAM02 A20QNNTOR2 Ømin = 26 mm - Zanco= 20 mm 
MM 1098949"
BARR-309,BARRA DE INTERIOR A10K-SWLXL04-D120 (6989898)
BASE-001,BASE ADHERIBLE PEGOTE
BASE-002,BASE NIVELADORA PARA ITEM M10 X 80
BASE-003,BASE NIVELADORA PARA ITEM M8 X 80
BIZA-001,BISAGRA BOSCH PA66
BIZA-002,"BISAGRA DE 1/2"""
BIZA-003,"BISAGRA DE 3/4"""
BIZA-004,BISAGRA DE 5/8
BIZA-005,"BISAGRA DE ALUMI NIO DE 1/2"" (ITEM)"
BOLI-001,BOLIGRAFO ROJO PUNTO MEDIANO
BOLI-002,BOLIGRAFO NEGRO PUNTO MEDIANO
BOLI-003,BOLIGRAFO AZUL PUNTO MEDIANO
BOQU-001,BOQUILLA 45 AMP #220671
BOQU-002,BOQUILLA ER 16 3 - 4 mm
BOQU-003,BOQUILLA ER 16 4 - 5 mm
BOQU-004,BOQUILLA P/ EQUIPO DE CORTE DE GAS SC50-2
BOQU-005,BOQUILLA DE CERAMICA 54N14 GAS LENS #8 OBE SKU: 792
BOQU-006,"BOQUILLAS ER-40 METRICAS 4-26mm (JGO 23 PZS) HPI
HP-ER40-MSET"
BOQU-007,BOQUILLA ER-40 25mm
BORR-001,BORRADOR PARA PIZARRON VERDE
BOTA-001,BOTA BORCEGUI RIV ATI-01 T24 NG
BOTA-002,BOTA BORCEGUI RIV ATI-01 T25NG
BOTA-003,BOTA BORCEGUI RIV ATI-01 T26 NG
BOTA-004,BOTA BORCEGUI RIV ATI-01 T27 NG
BOTA-005,BOTA BORCEGUI RIV ATI-01 T28 NG
BOTA-006,BOTA BORCEGUI RIV ATI-01 T29 NG
BOTA-007,BOTA BORCEGUI RIV ATI-01 T30 NG
BOTA-008,BOTIN RIVERLAND SPARKS SPS-01 #27 NG )
BOTA-009,BORCEGUI RIV EVOLUTION ELNG3-01 T27 NG)/
BOTA-011,BOTADOR NITRURADO DIAM 10 X 315 MM
BOTA-012,"BOTADOR NITRURADO DIAM 20 X 315 MM 
"
BOTA-013,BOTA BORCEGUI RIV EVOLUTION ELNG3-01 T26 NG)/
BRCH-001,"BROCHA DE 4"""
BRCH-002,"BROCHA PERFECT 2"""
BROC-001,BROCA DE CENTRO HSS #1
BROC-002,BROCA DE CENTRO HSS #2
BROC-003,BROCA DE CENTRO HSS #3
BROC-004,BROCA DE CENTRO HSS #4
BROC-005,BROCA DE CENTRO HSS #5
BROC-006,BROCA DE CENTRO HSS #6
BROC-007,BROCA DE CENTRO HSS #7
BROC-008,BROCA DE CENTRO HSS #8
BROC-009,BROCA NUMERICA #19
BROC-010,BROCA NUMERICA #30
BROC-011,BROCA DE CENTRO #2 DE CARBURO
BROC-013,BROCA NUMERICA #7
BROCM001,BROCA HSS 1mm
BROCM002,BROCA HSS 1.5mm
BROCM003,BROCA HSS 2mm
BROCM004,BROCA HSS 2.5mm
BROCM005,BROCA HSS 3mm
BROCM006,BROCA HSS 3.5mm
BROCM007,BROCA HSS 4mm
BROCM008,BROCA HSS 4.5mm
BROCM009,BROCA HSS 5mm
BROCM010,BROCA HSS 5.5mm
BROCM011,BROCA HSS 6mm
BROCM012,BROCA HSS 6.5mm
BROCM013,BROCA HSS 7mm
BROCM014,BROCA HSS 7.5mm
BROCM015,BROCA HSS 8mm
BROCM016,BROCA HSS 8.5mm
BROCM017,BROCA HSS 9mm
BROCM018,BROCA HSS 9.5mm
BROCM019,BROCA HSS 10mm
BROCM020,BROCA HSS 10.5mm
BROCM021,BROCA HSS 11mm
BROCM022,BROCA HSS 11.5mm
BROCM023,BROCA HSS 12mm
BROCM024,BROCA HSS 12.5mm
BROCM025,BROCA HSS 13mm
BROCM026,BROCA 1mm DE CARBURO
BROCM027,BROCA DE 8mm C/RECUBRIMIENTO DE TIALN
BROCM028,BROCA HSS 13.5mm
BROCM101,BROCA HSS CONICA 14.5mm
BROCM102,BROCA HSS CONICA 15mm
BROCM103,BROCA HSS CONICA 16mm
BROCM104,BROCA HSS CONICA 17mm
BROCM105,BROCA HSS CONICA 18mm
BROCM106,BROCA HSS CONICA 19mm
BROCM107,BROCA HSS CONICA 20mm
BROCM108,BROCA HSS CONICA 21mm
BROCM109,BROCA HSS CONICA 22mm
BROCM110,BROCA HSS CONICA 23mm
BROCM111,BROCA HSS CONICA 22.75mm
BROCM201,"BROCA HSS 14mm C/ZANCO DE 1/2"""
BROCM202,"BROCA HSS 16mm C/ZANCO DE 1/2"""
BROCM203,"BROCA HSS 16.5mm C/ZANCO DE 1/2"""
BROCM204,"BROCA HSS 17mm C/ZANCO DE 1/2"""
BROCM205,"BROCA HSS 17.5mm C/ZANCO DE 1/2"""
BROCM210,BROCA HSS 18.5mm. C/ZANCO DE 1/2
BROCM301,BROCA A1922S-8 HSS 8mm 650mm-LT/550mm-LE
BROCM302,BROCA A1822-9.5 HSS 9.5mm 380mm-LT/280mm-LE
BROCM303,BROCA A1922S-14 HSS 14mm 780mm-LT/680mm-LE
BROCM304,BROCA A1922S-8 HSS 8mm 445mm-LT/345mm-LE (MOD)
BROCM305,BROCA HSS 6mm 280mm-LT/65mm-LE
BROCM306,BROCA 19mm TDX190F25-3 (6718340)
BROCM307,BROCA TDS250F25-3 (6710985)
BROCM401,BROCA DE CARBURO 6.8MM
BROCM402,BROCA DE CARBURO 5MM
BROCS001,"BROCA HSS 1/16"""
BROCS002,"BROCA HSS 5/64"""
BROCS003,"BROCA HSS 3/32"""
BROCS004,"BROCA HSS 7/64"""
BROCS005,"BROCA HSS 1/8"""
BROCS006,"BROCA HSS 9/64"""
BROCS007,"BROCA HSS 5/32"""
BROCS008,"BROCA HSS 11/64"""
BROCS009,"BROCA HSS 3/16"""
BROCS010,"BROCA HSS 13/64"""
BROCS011,"BROCA HSS 7/32"""
BROCS012,"BROCA HSS 15/64"""
BROCS013,"BROCA HSS 1/4"""
BROCS014,"BROCA HSS 17/64"""
BROCS015,"BROCA HSS 9/32"""
BROCS016,"BROCA HSS 19/64"""
BROCS017,"BROCA HSS 5/16"""
BROCS018,"BROCA HSS 21/64"""
BROCS019,"BROCA HSS 11/32"""
BROCS020,"BROCA HSS 23/64"""
BROCS021,"BROCA HSS 3/8"""
BROCS022,"BROCA HSS 25/64"""
BROCS023,"BROCA HSS 13/32"""
BROCS024,"BROCA HSS 27/64"""
BROCS025,"BROCA HSS 7/16"""
BROCS026,"BROCA HSS 29/64"""
BROCS027,"BROCA HSS 15/32"""
BROCS028,"BROCA HSS 31/64"""
BROCS029,"BROCA HSS 1/2"""
BROCS030,"BROCA HSS 49/64"""
BROCS031,"BROCA HSS 1/32"""
BROCS032,"BROCA HSS 1/64"""
BROCS033,"BROCA HSS 3/4"""
BROCS101,"BROCA HSS CONICA 1 3/8"""
BROCS102,"BROCA HSS CONICA 1 13/32"""
BROCS103,"BROCA HSS CONICA 1 1/2"""
BROCS201,"BROCA HSS 9/16"" C/ZANCO DE 1/2"""
BROCS202,"BROCA HSS 5/8"" C/ZANCO DE 1/2"""
BROCS203,"BROCA HSS 3/4"" C/ZANCO DE 1/2"""
BROCS204,"BROCA HSS 7/8"" C/ZANCO DE 1/2"""
BROCS205,"BROCA HSS 1"" C/ZANCO DE 1/2"""
BROCS206,"BROCA HSS 39/64"" C/ZANCO DE 1/2"""
BROCS207,"BROCA HSS 1 3/16"" C/ZANCO DE 1/2"""
BROCS208,"BROCA HSS 1 1/2"" C/ZANCO DE 1/2"""
BROCS209,"BROCA HSS 1 1/4"" C/ZANCO DE 1/2"""
BROCS210,"BROCA HSS 1 3/4"" C/ZANCO DE 3/4"""
BROCS211,"BROCA HSS 1 1/8"" C/ZANCO DE 1/2"""
BROCS212,"BROCA HSS 47/64"" C/ZANCO DE 1/2"""
BROCS213,"BROCA HSS 19/32"" C/ZANCO DE 1/2"""
BROCS214,"BROCA HSS 17/32"" C/ZANCO DE 1/2"""
BROCS215,"BROCA HSS 13/16"" C/ZANCO DE 1/2"""
BROCS301,BROCA HSS 19/32 300mm-LT/230-LE
BROCS302,BROCA HSS 19/64 300mm-LT/75-LE
BROCS303,BROCA HSS 17/64 305mm-LT/70-LE
BROCS304,BROCA HSS 1/2 310mm-LT/230-LE
BROCS305,"BROCA HSS 9/16 260mm-LT/180-LE C/ZANCO DE 9/16"""
BROCS306,BROCA HSS 5/32 150mm-LT/50mm-LE
BROCS307,"BROCA HSS 5/16"" 145mm-LT/80mm-LE"
BROCS308,BROCA HSS 7/32 220mm-LT/145-LE
BROCS401,"BROCA P/CONCRETO 1/2"" X 6"""
BROCS402,"BROCA P/CONCRETO 1/2"" X 4"""
BROCS403,"BROCA P/CONCRETO 3/8"" X 4"""
BUJE-001,BUJE DODGE 1108B 1/2
BUJE-002,"BUJE DODGE 1310B 1/2"""
BUJE-003,BUJE ATIDESGASTE INA PAP 2020 P10
BUJE-004,BUJE DODGE 2012 1 1/8
BUJE-005,"BUJE DODGE 2012 1 1/2"" - KW"
BUJE-006,BUJE ANTIDESGASTE INA PAP 1208 P10
BURI-001,"BURIL DE COBALTO DE 5/16"" X 5716"" X 2 1/2"""
BURI-002,"BURIL DE COBALTO DE 3/8"" X 3/8"" X 3"""
BURI-003,"BURIL DE COBALTO 1/2x1/2x4"""
BURI-004,BURIL DE COBALTO 5/8 X 5/8 X 41/2
BURI-005,"BURIL DE COBALTO DE 3/4"" X 3/4"" X 5"""
BURI-006,"BURIL DE COBALTO 1"" X 7"""
BURI-007,BURIL DERECHO PASTILLA DE CARBURO SOLD. 1/4
BURI-008,BURIL DERECHO PASTILLA DE CARBURO SOLD. 5/16
BURI-009,BURIL DERECHO PASTILLA DE CARBURO SOLD. 3/8
BURI-010,BURIL DERECHO PASTILLA DE CARBURO SOLD. 1/2
BURI-011,BURIL IZQUIERDO PASTILLERO DE CARBURO SOLD. 1/4
BURI-012,BURIL IZQUIERDO PASTILLA DE CARBURO SOLD. 5/16
BURI-013,BURIL IZQUIERDO PASTILLA DE CARBURO SOLDABLE 3/8
